line;code;canonical name;category;type;family code;family;sortkey?;autodetect?;exceptional?;script codes;other names;standard characters
1;aa;Afar;Afar language;;cus-eas;East Cushitic;;autodetect;;Latn;;
2;aaa;Ghotuo;Ghotuo language;;alv-yek;Yekhee;;;;Latn;;
3;aab;Alumu-Tesu;Alumu-Tesu language;;nic-alu;Alumic;;;;Latn;Alumu,Tesu;
4;aac;Ari;Ari language;;paa-pag;Papuan Gulf;;;;Latn;;
5;aad;Amal;Amal language;;paa-iwm;Iwam;;;;Latn;Alai;
6;aaf;Aranadan;Aranadan language;;dra;Dravidian;;;;Mlym;;
7;aag;Ambrak;Ambrak language;;qfa-tor;Torricelli;;;;Latn;;
8;aah;Abu' Arapesh;Abu' Arapesh language;;qfa-tor;Torricelli;;;;Latn;Abu',Ua;
9;aai;Arifama-Miniafia;Arifama-Miniafia language;;poz-ocw;Western Oceanic;;;;Latn;Arifama,Miniafia;
10;aak;Ankave;Ankave language;;ngf;Trans-New Guinea;;;;Latn;;
11;aal;Afade;Afade language;;cdc-cbm;Central Chadic;;;;Latn;;
12;aan;Anambé;Anambé language;;tup-gua;Tupi-Guarani;;;;Latn;;
13;aap;Pará Arára;Pará Arára language;;sai-pek;Pekodian;;;;Latn;Arára;
14;aaq;Penobscot;Penobscot language;;alg-abp;Abenaki-Penobscot;;;;Latn;Eastern Abenaki,Eastern Abnaki;
15;aas;Aasax;Aasax language;;cus-sou;South Cushitic;;;;Latn;Aasáx,Asa,Aramanik,Laramanik;
16;aau;Abau;Abau language;;paa-spk;Sepik;;;;Latn;;
17;aav-khs-pro;Proto-Khasian;Proto-Khasian language;reconstructed;aav-khs;Khasian;;;exceptional;Latinx;;
18;aav-nic-pro;Proto-Nicobarese;Proto-Nicobarese language;reconstructed;aav-nic;Nicobarese;;;exceptional;Latinx;;
19;aav-pkl-pro;Proto-Pnar-Khasi-Lyngngam;Proto-Pnar-Khasi-Lyngngam language;reconstructed;aav-pkl;Pnar-Khasi-Lyngngam;;;exceptional;Latinx;;
20;aav-pro;Proto-Austroasiatic;Proto-Austroasiatic language;reconstructed;aav;Austroasiatic;;;exceptional;Latinx;;
21;aaw;Solong;Solong language;;poz-ocw;Western Oceanic;;;;Latn;Arove,Arawe;
22;aax;Mandobo Atas;Mandobo Atas language;;ngf;Trans-New Guinea;;;;Latn;;
23;aaz;Amarasi;Amarasi language;;poz-tim;Timoric;;;;Latn;;
24;ab;Abkhaz;Abkhaz language;;cau-abz;Abkhaz-Abaza;;autodetect;;Cyrl,Geor,Latn;;
25;aba;Abé;Abé language;;alv-lag;Lagoon;;;;Latn;;
26;abb;Bankon;Bankon language;;bnt-bsa;Basaa;;;;Latn;Abo,Bo,Abaw,Miang,Mandouka;
27;abc;Ambala Ayta;Ambala Ayta language;;phi;Philippine;;;;Latn;;
28;abd;Camarines Norte Agta;Camarines Norte Agta language;;phi;Philippine;;;;Latn;Manide;
29;abe;Abenaki;Abenaki language;;alg-abp;Abenaki-Penobscot;;;;Latn;Western Abenaki,Abnaki,Western Abnaki;
30;abf;Abai Sungai;Abai Sungai language;;poz-san;Sabahan;;;;Latn;;
31;abg;Abaga;Abaga language;;paa-kag;Kainantu-Goroka;;;;Latn;;
32;abh;Tajiki Arabic;Tajiki Arabic language;;sem-arb;Arabic;;autodetect;;Arab;;
33;abi;Abidji;Abidji language;;alv-lag;Lagoon;;;;Latn;;
